,index,title,authors,average_rating,isbn,language_code,  num_pages,ratings_count,text_reviews_count,publisher,summary,day,month,year,fiction,novel,speculative_fiction,science_fiction,mystery,suspense,fantasy,children_literature
0,1,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,eng,81,1423,70,Dramatists Play Service," The plot follows Heidi Holland from high school in the 1960s to her career as a successful art historian more than twenty years later. The play's main themes deal with the changing role of women during this time period, describing both Heidi's ardent feminism during the 1970s and her eventual sense of betrayal during the 1980s. Though most of the characters are women, there are two important male characters; Peter Patrone, a gay pediatrician who is arguably Heidi's best friend, and Scoop Rosenbaum, a magazine editor who marries and has many affairs, and with whom Heidi has a tense friendship.",1,3,2002,0,0,0,0,0,0,0,0
1,2,Treasure Island,Robert Louis Stevenson,3.83,0753453800,eng,311,318753,6734,Kingfisher," The novel is divided into 6 parts and 34 chapters: Jim Hawkins is the narrator of all except for chapters 16-18, which are narrated by Doctor Livesey. The novel opens in the seaside village of Black Hill Cove in south-west England (to Stevenson, in his letters and in the related fictional play Admiral Guinea, near Barnstaple, Devon) in the mid-18th century. The narrator, James ""Jim"" Hawkins, is the young son of the owners of the Admiral Benbow Inn. An old drunken seaman named Billy Bones becomes a long-term lodger at the inn, only paying for about the first week of his stay. Jim quickly realizes that Bones is in hiding, and that he particularly dreads meeting an unidentified seafaring man with one leg. Some months later, Bones is visited by a mysterious sailor named Black Dog. Their meeting turns violent, Black Dog flees and Bones suffers a stroke. While Jim cares for him, Bones confesses that he was once the mate of the late notorious pirate, Captain Flint, and that his old crewmates want Bones' sea chest. Some time later, another of Bones' crew mates, a blind man named Pew, appears at the inn and forces Jim to lead him to Bones. Pew gives Bones a paper. After Pew leaves, Bones opens the paper to discover it is marked with the Black Spot, a pirate summons, with the warning that he has until ten o'clock to meet their demands. Bones drops dead of apoplexy (in this context, a stroke) on the spot. Jim and his mother open Bones' sea chest to collect the amount due to them for Bones' room and board, but before they can count out the money that they are owed, they hear pirates approaching the inn and are forced to flee and hide, Jim taking with him a mysterious oilskin packet from the chest. The pirates, led by Pew, find the sea chest and the money, but are frustrated that there is no sign of ""Flint's fist"". Customs men approach and the pirates escape to their vessel (all except for Pew, who is accidentally run down and killed by the agents' horses).p. 27-8: ""...{Pew} made another dash, now utterly bewildered, right under the nearest of the coming horses. The rider tried to save him, but in vain. Down went Pew with a cry that rang high into the night; and the four hoofs trampled and spurned him and passed by. He fell on his side, then gently collapsed upon his face, and moved no more."" —Stevenson, R.L. Jim takes the mysterious oilskin packet to Dr. Livesey, as he is a &#34;gentleman and a magistrate&#34;, and he, Squire Trelawney and Jim Hawkins examine it together, finding it contains a logbook detailing the treasure looted during Captain Flint&#39;s career, and a detailed map of an island with the location of Flint&#39;s treasure marked on it. Squire Trelawney immediately plans to commission a sailing vessel to hunt for the treasure, with the help of Dr. Livesey and Jim. Livesey warns Trelawney to be silent about their objective. Going to Bristol docks, Trelawney buys a schooner named the Hispaniola, hires a captain, Alexander Smollett to command her, and retains Long John Silver, a former sea cook and now the owner of the dock-side &#34;Spy-Glass&#34; tavern, to run the galley. Silver helps Trelawney to hire the rest of his crew. When Jim arrives in Bristol and visits Silver at the Spy-Glass, his suspicions are aroused: Silver is missing a leg, like the man Bones warned Jim about, and Black Dog is sitting in the tavern. Black Dog runs away at the sight of Jim, and Silver denies all knowledge of the fugitive so convincingly that he wins Jim&#39;s trust. Despite Captain Smollett&#39;s misgivings about the mission and Silver&#39;s hand-picked crew, the Hispaniola sets sail for the Caribbean. As they near their destination, Jim crawls into the ship&#39;s near-empty apple barrel to get an apple. While inside, he overhears Silver talking secretly with some of the crewmen. Silver admits that he was Captain Flint&#39;s quartermaster, that several others of the crew were also once Flint&#39;s men, and that he is recruiting more men from the crew to his own side. After Flint&#39;s treasure is recovered, Silver intends to murder the Hispaniolas officers, and keep the loot for himself and his men. When the pirates have returned to their berths, Jim warns Smollett, Trelawney and Livesey of the impending mutiny. On reaching Treasure Island, the majority of Silver's men go ashore immediately. Although Jim is not yet aware of this, Silver's men have demanded they seize the treasure immediately, discarding Silver's own more careful plan to postpone any open mutiny or violence until after the treasure is safely aboard. Jim lands with Silver's men, but runs away from them almost as soon as he is ashore. Hiding in the woods, Jim sees Silver murder Tom, a crewman loyal to Smollett. Running for his life, he encounters Ben Gunn, another ex-crewman of Flint's who has been marooned for three years on the island, but who treats Jim kindly. Meanwhile, Trelawney, Livesey and their loyal crewmen surprise and overpower the few pirates left aboard the Hispaniola. They row ashore and move into an abandoned, fortified stockade where they are joined by Jim Hawkins, who has left Ben Gunn behind. Silver approaches under a flag of truce and tries to negotiate Smollett's surrender; Smollett rebuffs him utterly, and Silver flies into a rage, promising to attack the stockade. ""Them that die'll be the lucky ones,"" he famously threatens as he storms off. The pirates assault the stockade, but in a furious battle with losses on both sides, they are driven off. During the night Jim sneaks out, takes Ben Gunn's coracle and approaches the Hispaniola under cover of darkness. He cuts the ship's anchor cable, setting her adrift and out of reach of the pirates on shore. After daybreak, he manages to approach the schooner and board her. Of the two pirates left aboard, only one is still alive: the coxswain, Israel Hands, who has murdered his comrade in a drunken brawl and been badly wounded in the process. Hands agrees to help Jim helm the ship to a safe beach in exchange for medical treatment and brandy, but once the ship is approaching the beach Hands tries to murder Jim. Jim escapes by climbing the rigging, and when Hands tries to skewer him with a thrown dagger, Jim reflexively shoots Hands dead. Having beached the Hispaniola securely, Jim returns to the stockade under cover of night and sneaks back inside. Because of the darkness, he does not realize until too late that the stockade is now occupied by the pirates, and he is captured. Silver, whose always-shaky command has become more tenuous than ever, seizes on Jim as a hostage, refusing his men's demands to kill him or torture him for information. Silver's rivals in the pirate crew, led by George Merry, give Silver the Black Spot and move to depose him as captain. Silver answers his opponents eloquently, rebuking them for defacing a page from the Bible to create the Black Spot and revealing that he has obtained the treasure map from Dr. Livesey, thus restoring the crew's confidence. The following day, the pirates search for the treasure. They are shadowed by Ben Gunn, who makes ghostly sounds to dissuade them from continuing, but Silver forges ahead and locates where Flint's treasure is buried. The pirates discover that the cache has been rifled and the treasure is gone. The enraged pirates turn on Silver and Jim, but Ben Gunn, Dr. Livesey and Abraham Gray attack the pirates, killing two and dispersing the rest. Silver surrenders to Dr. Livesey, promising to return to his duty. They go to Ben Gunn's cave where Gunn has had the treasure hidden for some months. The treasure is divided amongst Trelawney and his loyal men, including Jim and Ben Gunn, and they return to England, leaving the surviving pirates marooned on the island. Silver, through the help of the fearful Ben Gunn, escapes with a small part of the treasure, three or four hundred guineas. Remembering Silver, Jim reflects that ""I dare say he met his old Negress [wife], and perhaps still lives in comfort with her and Captain Flint [his parrot]. It is to be hoped so, I suppose, for his chances of comfort in another world are very small.""",15,9,2001,1,0,1,0,0,0,0,1
2,3,Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,245,5967,276,Simon & Schuster," The novel is divided into 6 parts and 34 chapters: Jim Hawkins is the narrator of all except for chapters 16-18, which are narrated by Doctor Livesey. The novel opens in the seaside village of Black Hill Cove in south-west England (to Stevenson, in his letters and in the related fictional play Admiral Guinea, near Barnstaple, Devon) in the mid-18th century. The narrator, James ""Jim"" Hawkins, is the young son of the owners of the Admiral Benbow Inn. An old drunken seaman named Billy Bones becomes a long-term lodger at the inn, only paying for about the first week of his stay. Jim quickly realizes that Bones is in hiding, and that he particularly dreads meeting an unidentified seafaring man with one leg. Some months later, Bones is visited by a mysterious sailor named Black Dog. Their meeting turns violent, Black Dog flees and Bones suffers a stroke. While Jim cares for him, Bones confesses that he was once the mate of the late notorious pirate, Captain Flint, and that his old crewmates want Bones' sea chest. Some time later, another of Bones' crew mates, a blind man named Pew, appears at the inn and forces Jim to lead him to Bones. Pew gives Bones a paper. After Pew leaves, Bones opens the paper to discover it is marked with the Black Spot, a pirate summons, with the warning that he has until ten o'clock to meet their demands. Bones drops dead of apoplexy (in this context, a stroke) on the spot. Jim and his mother open Bones' sea chest to collect the amount due to them for Bones' room and board, but before they can count out the money that they are owed, they hear pirates approaching the inn and are forced to flee and hide, Jim taking with him a mysterious oilskin packet from the chest. The pirates, led by Pew, find the sea chest and the money, but are frustrated that there is no sign of ""Flint's fist"". Customs men approach and the pirates escape to their vessel (all except for Pew, who is accidentally run down and killed by the agents' horses).p. 27-8: ""...{Pew} made another dash, now utterly bewildered, right under the nearest of the coming horses. The rider tried to save him, but in vain. Down went Pew with a cry that rang high into the night; and the four hoofs trampled and spurned him and passed by. He fell on his side, then gently collapsed upon his face, and moved no more."" —Stevenson, R.L. Jim takes the mysterious oilskin packet to Dr. Livesey, as he is a &#34;gentleman and a magistrate&#34;, and he, Squire Trelawney and Jim Hawkins examine it together, finding it contains a logbook detailing the treasure looted during Captain Flint&#39;s career, and a detailed map of an island with the location of Flint&#39;s treasure marked on it. Squire Trelawney immediately plans to commission a sailing vessel to hunt for the treasure, with the help of Dr. Livesey and Jim. Livesey warns Trelawney to be silent about their objective. Going to Bristol docks, Trelawney buys a schooner named the Hispaniola, hires a captain, Alexander Smollett to command her, and retains Long John Silver, a former sea cook and now the owner of the dock-side &#34;Spy-Glass&#34; tavern, to run the galley. Silver helps Trelawney to hire the rest of his crew. When Jim arrives in Bristol and visits Silver at the Spy-Glass, his suspicions are aroused: Silver is missing a leg, like the man Bones warned Jim about, and Black Dog is sitting in the tavern. Black Dog runs away at the sight of Jim, and Silver denies all knowledge of the fugitive so convincingly that he wins Jim&#39;s trust. Despite Captain Smollett&#39;s misgivings about the mission and Silver&#39;s hand-picked crew, the Hispaniola sets sail for the Caribbean. As they near their destination, Jim crawls into the ship&#39;s near-empty apple barrel to get an apple. While inside, he overhears Silver talking secretly with some of the crewmen. Silver admits that he was Captain Flint&#39;s quartermaster, that several others of the crew were also once Flint&#39;s men, and that he is recruiting more men from the crew to his own side. After Flint&#39;s treasure is recovered, Silver intends to murder the Hispaniolas officers, and keep the loot for himself and his men. When the pirates have returned to their berths, Jim warns Smollett, Trelawney and Livesey of the impending mutiny. On reaching Treasure Island, the majority of Silver's men go ashore immediately. Although Jim is not yet aware of this, Silver's men have demanded they seize the treasure immediately, discarding Silver's own more careful plan to postpone any open mutiny or violence until after the treasure is safely aboard. Jim lands with Silver's men, but runs away from them almost as soon as he is ashore. Hiding in the woods, Jim sees Silver murder Tom, a crewman loyal to Smollett. Running for his life, he encounters Ben Gunn, another ex-crewman of Flint's who has been marooned for three years on the island, but who treats Jim kindly. Meanwhile, Trelawney, Livesey and their loyal crewmen surprise and overpower the few pirates left aboard the Hispaniola. They row ashore and move into an abandoned, fortified stockade where they are joined by Jim Hawkins, who has left Ben Gunn behind. Silver approaches under a flag of truce and tries to negotiate Smollett's surrender; Smollett rebuffs him utterly, and Silver flies into a rage, promising to attack the stockade. ""Them that die'll be the lucky ones,"" he famously threatens as he storms off. The pirates assault the stockade, but in a furious battle with losses on both sides, they are driven off. During the night Jim sneaks out, takes Ben Gunn's coracle and approaches the Hispaniola under cover of darkness. He cuts the ship's anchor cable, setting her adrift and out of reach of the pirates on shore. After daybreak, he manages to approach the schooner and board her. Of the two pirates left aboard, only one is still alive: the coxswain, Israel Hands, who has murdered his comrade in a drunken brawl and been badly wounded in the process. Hands agrees to help Jim helm the ship to a safe beach in exchange for medical treatment and brandy, but once the ship is approaching the beach Hands tries to murder Jim. Jim escapes by climbing the rigging, and when Hands tries to skewer him with a thrown dagger, Jim reflexively shoots Hands dead. Having beached the Hispaniola securely, Jim returns to the stockade under cover of night and sneaks back inside. Because of the darkness, he does not realize until too late that the stockade is now occupied by the pirates, and he is captured. Silver, whose always-shaky command has become more tenuous than ever, seizes on Jim as a hostage, refusing his men's demands to kill him or torture him for information. Silver's rivals in the pirate crew, led by George Merry, give Silver the Black Spot and move to depose him as captain. Silver answers his opponents eloquently, rebuking them for defacing a page from the Bible to create the Black Spot and revealing that he has obtained the treasure map from Dr. Livesey, thus restoring the crew's confidence. The following day, the pirates search for the treasure. They are shadowed by Ben Gunn, who makes ghostly sounds to dissuade them from continuing, but Silver forges ahead and locates where Flint's treasure is buried. The pirates discover that the cache has been rifled and the treasure is gone. The enraged pirates turn on Silver and Jim, but Ben Gunn, Dr. Livesey and Abraham Gray attack the pirates, killing two and dispersing the rest. Silver surrenders to Dr. Livesey, promising to return to his duty. They go to Ben Gunn's cave where Gunn has had the treasure hidden for some months. The treasure is divided amongst Trelawney and his loyal men, including Jim and Ben Gunn, and they return to England, leaving the surviving pirates marooned on the island. Silver, through the help of the fearful Ben Gunn, escapes with a small part of the treasure, three or four hundred guineas. Remembering Silver, Jim reflects that ""I dare say he met his old Negress [wife], and perhaps still lives in comfort with her and Captain Flint [his parrot]. It is to be hoped so, I suppose, for his chances of comfort in another world are very small.""",1,6,2005,1,0,1,0,0,0,0,1
3,4,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,eng,528,251872,6241,Ace," The story focuses on a human raised on Mars and his adaptation to, and understanding of, humans and their culture, which is portrayed as an amplified version of the consumerist and media-driven 20th-century United States. Protagonist Valentine Michael Smith is the son of astronauts of the first expedition to the planet Mars. Orphaned after the crew died, Smith was raised in the culture of the Martian natives, who possess full control over their minds and bodies (learned skills which Smith acquires). A second expedition some twenty years later brings Smith to Earth. Because he is heir to the fortunes of the entire exploration party, which includes several valuable inventions (most particularly his mother's Lyle Drive, which makes interplanetary travel economical), Smith becomes a political pawn in government struggles. Moreover, despite the existence of the Martians, under terrestrial law Mars was terra nullius, wherefore according to some interpretations of law, Smith could be considered to own the planet Mars itself. Because Smith is unaccustomed to the atmosphere and gravity of Earth, he is confined at Bethesda Hospital, where having never seen a human female, he is attended by male staff only. Seeing this restriction as a challenge, Nurse Gillian Boardman eludes guards to see Smith and in doing so inadvertently becomes his first female ""water brother"" by sharing a glass of water with him, considered a holy relationship by the standards of arid Mars. When Gillian tells reporter Ben Caxton about her experience with Smith, they attempt to counteract the government's lies about Smith. After Ben disappears at the behest of the World Government, Gillian persuades Smith to leave the hospital with her; but they are attacked by government agents. Smith discards the agents irretrievably into a fourth dimension, then is so shocked by Gillian's terrified reaction that he enters a semblance of catatonia. Gillian, remembering Ben's reference to Jubal Harshaw, a famous author who is also a physician and a lawyer, conveys Smith to the latter. Smith continues to demonstrate psychic abilities and superhuman intelligence coupled with a childlike naïveté. When Jubal tries to explain religion to him, Smith understands the concept of God only as ""one who groks"", which includes every extant organism. This leads him to express the Martian concept of life as the phrase ""Thou art God"", although he knows this is a bad translation. Many other human concepts such as war, clothing, and jealousy are strange to him, while the idea of an afterlife is a fact he takes for granted because the government on Mars is composed of ""Old Ones"", the spirits of Martians who have died. It is also customary for loved ones and friends to eat the bodies of the dead, in a spirit of Holy Communion. Eventually Harshaw arranges freedom for Smith and recognition that human law, which would have granted ownership of Mars to Smith, has no applicability to a planet already inhabited by intelligent life. Now free to travel, Smith becomes a celebrity and is feted by the elite of Earth. He investigates many religions, including the Fosterite Church of the New Revelation, a populist megachurch wherein sexuality, gambling, alcoholism, and similar are not considered sinful but encouraged, even within the church building. The church is organized in a complexity of initiatory levels; an outer circle, open to the public; a middle circle of ordinary members who support the church financially; and an inner circle of the ""eternally saved"" — attractive, highly-sexed men and women, who serve as clergy and recruit new members. The Church owns many politicians and takes violent action against those who oppose it. Smith also has a brief career as a magician in a carnival, where he and Gillian befriend the show's tattooed lady, an ""eternally saved"" Fosterite woman named Patricia Paiwonski. Eventually Smith begets a Martian-influenced ""Church of All Worlds"" combining elements of the Fosterite cult (especially the sexual aspects) with Western esotericism, whose members learn the Martian language and acquire psychokinetic abilities. The church is eventually besieged by Fosterites for practicing ""blasphemy"" and the church building destroyed; but Smith and his followers teleport to safety. Smith is arrested by the police, but escapes and returns to his followers, later explaining to Jubal that his gigantic fortune has been bequeathed to the Church. With it and their new abilities, Church members will be able to re-organize human societies and cultures. Eventually those who cannot or will not learn Smith's methods will die out, leaving Homo superior. Incidentally, this may save Earth from eventual destruction by the Martians, who we are told were responsible for the destruction of Planet V. Smith is killed by a mob raised against him by the Fosterites; but speaks briefly to Jubal from the afterlife, saving him from an attempted suicide after the horror of Smith's own death. Having consumed Smith's remains in keeping with his own wishes, Jubal and some of the Church members return to Jubal's home to re-create their former conditions. Meanwhile Smith re-appears in the afterlife to replace the Fosterites' eponymous founder, amid hints that Smith was an incarnation of the Archangel Michael.",1,10,1991,1,0,0,1,0,0,0,0
4,5,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,en-US,434,10293,193,Ace Books," The book is a memoir of Maureen Johnson Smith Long, mother, lover, and eventual wife of Lazarus Long. Maureen is ostensibly recording the events of the book while being held in a future prison, awaiting her uncertain fate, along with Pixel, the eponymous character of The Cat Who Walks Through Walls. Maureen, born on July 4, 1882, recounts her girlhood in Kansas City, young adulthood, discovery that her family is a member of the long-lived Howard Families (whose backstory is revealed in Methuselah's Children), marriage to Brian Smith, another member of that family, and her life until her accidental ""death"" in 1982. Maureen lives through, and gives her (sometimes contradictory) viewpoints on many events in other Heinlein stories, most notably the 1917 visit from the future by ""Ted Bronson"" (in actuality Lazarus Long), told from Long's point of view in Time Enough for Love, D. D. Harriman's space program from The Man Who Sold the Moon and the rolling roads from The Roads Must Roll. The adventures of Maureen are a series of sexual ones, starting with Heinlein describing her as a young girl who, having just had her first sexual intercourse, is examined by her father, a doctor, and finds herself desiring him sexually. Her sexual life story then continues featuring various boys, her husband, ministers, other women's husbands, boyfriends, swinging sessions, and the adult Lazarus Long/Theodore Bronson. Additionally, she continues a lifelong pursuit of her father sexually, encourages her husband to have sexual intercourse with their daughters, and accompanies him when he does; but forbids a son and daughter of hers from continuing an incestuous relationship, primarily for the sister's reluctance to share the brother with other women. All of these are set against a history lesson of an alternate 20th century in which a variety of social and philosophical commentary is delivered. She is eventually rescued by Lazarus Long and other characters drawn from various novels in the ship ""Gay Deceiver"" (from The Number of the Beast), and after rescuing her father from certain death in the Battle of Britain, is united with her descendants in a massive group marriage in the settlement of Boondock, on the planet Tertius. Maureen ends her memoir and the Lazarus Long saga with the phrase ""And we all lived happily ever after"".",1,6,1988,1,0,1,1,0,0,0,0
5,6,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0399132678,eng,416,98,6,G.P. Putnam's Sons," The book is a memoir of Maureen Johnson Smith Long, mother, lover, and eventual wife of Lazarus Long. Maureen is ostensibly recording the events of the book while being held in a future prison, awaiting her uncertain fate, along with Pixel, the eponymous character of The Cat Who Walks Through Walls. Maureen, born on July 4, 1882, recounts her girlhood in Kansas City, young adulthood, discovery that her family is a member of the long-lived Howard Families (whose backstory is revealed in Methuselah's Children), marriage to Brian Smith, another member of that family, and her life until her accidental ""death"" in 1982. Maureen lives through, and gives her (sometimes contradictory) viewpoints on many events in other Heinlein stories, most notably the 1917 visit from the future by ""Ted Bronson"" (in actuality Lazarus Long), told from Long's point of view in Time Enough for Love, D. D. Harriman's space program from The Man Who Sold the Moon and the rolling roads from The Roads Must Roll. The adventures of Maureen are a series of sexual ones, starting with Heinlein describing her as a young girl who, having just had her first sexual intercourse, is examined by her father, a doctor, and finds herself desiring him sexually. Her sexual life story then continues featuring various boys, her husband, ministers, other women's husbands, boyfriends, swinging sessions, and the adult Lazarus Long/Theodore Bronson. Additionally, she continues a lifelong pursuit of her father sexually, encourages her husband to have sexual intercourse with their daughters, and accompanies him when he does; but forbids a son and daughter of hers from continuing an incestuous relationship, primarily for the sister's reluctance to share the brother with other women. All of these are set against a history lesson of an alternate 20th century in which a variety of social and philosophical commentary is delivered. She is eventually rescued by Lazarus Long and other characters drawn from various novels in the ship ""Gay Deceiver"" (from The Number of the Beast), and after rescuing her father from certain death in the Battle of Britain, is united with her descendants in a massive group marriage in the settlement of Boondock, on the planet Tertius. Maureen ends her memoir and the Lazarus Long saga with the phrase ""And we all lived happily ever after"".",7,7,1987,1,0,1,1,0,0,0,0
6,7,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,en-US,439,15970,438,Del Rey," The story examines religion through the eyes of Alex, a Christian political activist who is corrupted by Margrethe, a Danish Norse cruise ship hostess &mdash; and who loves every minute of it. Enduring a shipwreck, an earthquake, and a series of world-changes brought about by Loki (with Jehovah's permission), Alex and Marga work their way from Mexico back to Kansas as dishwasher and waitress. Whenever they manage to make some stake, an inconveniently timed change into a new alternate reality throws them off their stride (once, the money they earned is left behind in another reality; in another case, the paper money earned in a Mexico which is an empire is worthless in another Mexico which is a republic). These repeated misfortunes, clearly effected by some malevolent entity, make the hero identify with the Biblical Job. On the way they unknowingly enjoy the Texas hospitality of Satan himself, but as they near their destination they are separated by the Rapture &mdash; Margrethe worships Odin, and pagans do not go to Heaven. Finding that the reward for his faith, eternity as promised in the Revelation, is worthless without her, Alex's journey through timeless space in search of his lost lady takes him to Hell and beyond. Heinlein's vivid depiction of a Heaven ruled by snotty angels and a Hell where everyone has a wonderful, or at least productive, time &mdash; with Mary Magdalene shuttling breezily between both places &mdash; is a satire on American evangelical Christianity. It owes much to Mark Twain's Captain Stormfield's Visit to Heaven. The novel is linked to Heinlein's short story, ""They"", by the term, ""the Glaroon"", and to his earlier novel The Moon is a Harsh Mistress by referring to the Moon colonies ""Luna City"" and ""Tycho Under"".",12,10,1985,1,1,1,1,0,0,0,0
7,8,Underworld,Don DeLillo,3.92,0684848155,eng,827,1505,175,Scribner," The novel opens on October 3, 1951, when a boy named Cotter Martin sneaks in to watch the New York Giants play the Brooklyn Dodgers at the Giants' home field Polo Grounds. (The prologue, Pafko at the Wall, was written on its own before the novel.) In the ninth inning, Ralph Branca pitches to Bobby Thomson, who hits the ball into the stands for a three-run homer, beating the Dodgers 5-4 and capturing the National League pennant. Known to baseball fans as ""The Shot Heard 'Round the World"", the fate of that ball is unknown, but in DeLillo's novel, Cotter Martin wrests this valuable ball away from another fan who has just befriended him and runs home. Cotter's father, Manx, steals the ball and later sells it for thirty-two dollars and forty-five cents. Branca and Thomson are never given much screen time, and Jackie Gleason and Frank Sinatra only put in cameos, but other historical figures become important parts of the story. J. Edgar Hoover muses on death, loyalty and leather masks while comedian Lenny Bruce faces the Cuban Missile Crisis by impersonating a hysterical housewife shrieking, ""We're all gonna die!"" Early in the novel it is revealed that Nick Shay was in a juvenile detention center for murdering a man, but it is not until near the end of the book that we learn the details of his crime. After being released from the detention center, he is sent to a Jesuit reform school in northern Minnesota. In the epilogue, we learn that Nick and Marian remain married despite infidelity on both sides. In fact, Nick indicates their relationship is much improved as he has opened up to her about his past – a subject that had always much interested her − and that he had been unwilling to discuss.",9,7,1998,1,1,0,0,0,0,0,0
8,9,Americana,Don DeLillo,3.43,0140119485,eng,377,393,55,Penguin Books," The book is narrated by David Bell, a former television executive turned avant-garde filmmaker. Beginning with an exploration of the malaise of the modern corporate man, the novel turns into an interrogation of film's power to misrepresent reality as Bell creates an autobiographical road-movie. The story addresses roots of American pathology and introduces themes DeLillo expanded upon in The Names, White Noise, and Libra. The first half of the novel can be viewed as a critique of the corporate world while the second half articulates the fears and dilemmas of contemporary American life. ga:Americana it:Americana (romanzo)",6,7,1989,1,1,1,0,0,0,0,0
9,10,Americana,Don DeLillo,3.43,2868698220,eng,454,3683,238,Actes Sud," The book is narrated by David Bell, a former television executive turned avant-garde filmmaker. Beginning with an exploration of the malaise of the modern corporate man, the novel turns into an interrogation of film's power to misrepresent reality as Bell creates an autobiographical road-movie. The story addresses roots of American pathology and introduces themes DeLillo expanded upon in The Names, White Noise, and Libra. The first half of the novel can be viewed as a critique of the corporate world while the second half articulates the fears and dilemmas of contemporary American life. ga:Americana it:Americana (romanzo)",10,8,1993,1,1,1,0,0,0,0,0
